a0 a1 a2 a3 b0 b1 b2 b3 c0 sim_hex sim_val golden_val abs_error
7D 9A 52 6F 5E 07 91 61 F992 2B2F 10.795898 10.795898 0.000000
52 27 41 17 71 17 B6 E4 05BB 1820 6.031250 6.031250 0.000000
90 4F D3 AB 31 36 C4 06 FD5A 0122 0.283203 0.283203 0.000000
CE 10 43 9A EC 5A 88 3B F99D CC3B -12.942383 -12.942383 0.000000
2F 3E EB 0D 26 3B 85 39 0713 2953 10.331055 10.331055 0.000000
71 2A 4C 52 25 F5 62 2C 061E 3FD5 15.958008 15.958008 0.000000
31 35 C7 AF F8 4A 5F E6 03E5 04C2 1.189453 1.189453 0.000000
09 E0 3E 7F 93 6A EF E0 0493 DF80 -8.125000 -8.125000 0.000000
64 1B 5D E3 0E CC A6 DB FB06 DE81 -8.374023 -8.374023 0.000000
A6 84 7B C5 A4 88 C1 7F F871 175F 5.842773 5.842773 0.000000
EF 72 DA 54 D2 17 F7 11 FA6C 0EA2 3.658203 3.658203 0.000000
2C 84 4B 7A F9 A7 BB E9 02E6 0DA1 3.407227 3.407227 0.000000
3A A6 4D B3 39 5A FC 14 FF94 E5A2 -6.591797 -6.591797 0.000000
6F 8F AD DF 1E A4 14 B4 FB45 3433 13.049805 13.049805 0.000000
C6 0D 14 E9 D4 DE 67 8B FF82 1A4F 6.577148 6.577148 0.000000
B7 B1 82 B0 61 3F BF 7A FC97 C75B -14.161133 -14.161133 0.000000
CB B0 86 D8 95 C0 7C 2F FDA4 E55B -6.661133 -6.661133 0.000000
F1 AD F5 5B 1D AA D5 DF F892 08DF 2.217773 2.217773 0.000000
06 C8 93 F8 BA 03 BC 45 F876 10F6 4.240234 4.240234 0.000000
69 23 1A CC 16 97 9D CC FA10 F53D -2.690430 -2.690430 0.000000
03 76 81 2A 2F 12 3F 8F FB48 D256 -11.416016 -11.416016 0.000000
C4 ED 5F EB D9 50 92 CD FC9E DB2F -9.204102 -9.204102 0.000000
7F 71 62 B6 14 38 7A 6B FAD0 2D3A 11.306641 11.306641 0.000000
B0 BE 93 DD 2C 1F 0D 79 06B6 DAE4 -9.277344 -9.277344 0.000000
6B 0B 32 9A F2 72 A4 CB FEE6 0118 0.273438 0.273438 0.000000
08 02 0B AB BC BE 71 17 FD06 F79A -2.099609 -2.099609 0.000000
19 61 F1 2B DB B3 B7 AD FAEE D07A -11.880859 -11.880859 0.000000
F3 0A A8 D9 9C 3F 39 FD 00A6 F50D -2.737305 -2.737305 0.000000
A3 10 67 2C 10 8D 02 8B 0301 E2B3 -7.325195 -7.325195 0.000000
67 96 C0 9F FE BE 9D DE FD00 3D28 15.289062 15.289062 0.000000
1E 41 8B 45 CE B5 A0 5D 05EF 31F9 12.493164 12.493164 0.000000
BD 2B 5F D7 D1 44 6A 1E F82E 326F 12.608398 12.608398 0.000000
A9 62 5B 85 58 85 9D 7D 001F 53E1 20.969727 -43.030273 64.000000
63 A5 AD B2 CC 43 6E 6E 00AA 8F8F -28.110352 -28.110352 0.000000
B0 B4 E0 1B EF A2 AB 50 0707 3B4F 14.827148 14.827148 0.000000
F2 F1 17 1B F9 98 5E D4 02A0 0CE8 3.226562 3.226562 0.000000
08 CD DA BB CD 1A 33 5F 0541 DD4E -8.673828 -8.673828 0.000000
1D 22 23 C6 F1 81 17 F9 029F F4C9 -2.803711 -2.803711 0.000000
DC 3F 5F 3F 26 F4 EE FB 067D F648 -2.429688 -2.429688 0.000000
F0 59 6C 8C 8A 56 3C D5 04B4 56C6 21.693359 21.693359 0.000000
44 1A A1 08 44 5F 5A F4 FCB6 F6A6 -2.337891 -2.337891 0.000000
B1 AF 79 F1 7A 62 C1 68 06A4 9E1D -24.471680 -24.471680 0.000000
EE 3E C7 A1 09 93 17 4E 055D C844 -13.933594 -13.933594 0.000000
DE FA F6 F5 90 82 56 87 016A 1515 5.270508 5.270508 0.000000
79 78 84 57 3B 45 4B 48 00AE 310D 12.262695 12.262695 0.000000
A5 66 5C 6A 14 5B 45 C8 FF3E 1E00 7.500000 7.500000 0.000000
0A 22 1F 49 ED 56 5E 10 06B9 2159 8.336914 8.336914 0.000000
21 82 41 EA EA 49 99 FC F90C B879 -17.881836 -17.881836 0.000000
43 71 BC BD F2 C0 33 10 FFCA CE24 -12.464844 -12.464844 0.000000
40 99 31 88 C8 22 D4 18 FE44 CEEA -12.271484 -12.271484 0.000000
D8 5D 68 4A 48 6E 3A 8F 025C 15F8 5.492188 5.492188 0.000000
D5 26 B1 EB DE B9 8E D0 04F6 2740 9.812500 9.812500 0.000000
19 D3 A0 52 A1 C4 7F 74 FC20 F2ED -3.268555 -3.268555 0.000000
9E 58 84 1C AC 10 C8 64 02C6 4E7E 19.623047 19.623047 0.000000
D8 85 59 DD BF BF 7D DC 0553 5F17 23.772461 23.772461 0.000000
4F 25 95 A5 C4 A9 B6 17 066E FE18 -0.476562 -0.476562 0.000000
EF C3 59 78 08 31 D9 73 06DA 22FE 8.748047 8.748047 0.000000
C7 A9 21 E5 73 50 59 E5 FBF2 D579 -10.631836 -10.631836 0.000000
6F 7A FF EF 88 41 78 D4 F921 E687 -6.368164 -6.368164 0.000000
45 11 9C 20 2F 01 C8 71 06AE 376A 13.853516 13.853516 0.000000
BD CD 3A 36 EF 72 FC 49 F8A1 F4DC -2.785156 -2.785156 0.000000
50 D2 C2 F5 64 6E 6E B4 FC70 F08C -3.863281 -3.863281 0.000000
69 65 58 D7 06 E6 82 F5 FD3F CBE6 -13.025391 -13.025391 0.000000
A8 46 29 42 83 45 00 5A 0440 594A 22.322266 22.322266 0.000000
40 45 E1 E6 CC 43 F3 7D F9B9 F3A9 -3.084961 -3.084961 0.000000
2F 36 C2 BF 06 D8 68 9B F8EA F209 -3.491211 -3.491211 0.000000
DC 49 89 0A 01 53 B6 2F 064D 4210 16.515625 16.515625 0.000000
16 CC D4 06 E7 F8 90 39 FEE6 12F6 4.740234 4.740234 0.000000
D5 35 16 E0 7C A5 34 78 073E D50B -10.739258 -10.739258 0.000000
DA 5D DE C8 15 27 6F 8D FDED 1364 4.847656 4.847656 0.000000
B2 95 77 E4 E6 98 D1 F9 FDC5 1C14 7.019531 7.019531 0.000000
CB 2B 20 A6 67 D7 B8 A0 04EB 0175 0.364258 0.364258 0.000000
A5 0F D0 A6 51 77 CE 14 FB2C E7B2 -6.076172 -6.076172 0.000000
8F 30 BA D2 EB 07 73 D6 070D F9BC -1.566406 -1.566406 0.000000
9F 4A 32 40 EE 9B 8B 9E F86B B2B1 -19.327148 -19.327148 0.000000
BB E0 2F 5B 28 73 AF B1 F8FF B4E3 -18.778320 -18.778320 0.000000
6B F1 96 0E 12 35 43 57 06A9 F418 -2.976562 -2.976562 0.000000
51 F5 E8 9F 64 76 DE 37 F8EB 01D6 0.458984 0.458984 0.000000
F4 7A 2B E8 07 F8 33 66 FB2C F609 -2.491211 -2.491211 0.000000
95 A5 D8 38 99 CD 5C F1 FE4A 29D0 10.453125 10.453125 0.000000
26 E6 3D 8D C0 73 86 DB FC69 DAC8 -9.304688 -9.304688 0.000000
41 2E 45 E3 68 DD 16 4F 046D 1586 5.380859 5.380859 0.000000
AF 87 9F CA 22 D5 F2 03 F8A8 06E5 1.723633 1.723633 0.000000
48 C9 20 F6 01 9E F9 18 01CA 1550 5.328125 5.328125 0.000000
DB 90 D5 5B 53 D2 1B 87 0017 D8AC -9.832031 -9.832031 0.000000
F2 A7 EB 3D 40 C2 E9 00 FB33 0F24 3.785156 3.785156 0.000000
7A 04 79 E8 45 0B 4D BF 02AC 4E37 19.553711 19.553711 0.000000
21 FE 7E 03 84 D1 9C 98 FFA8 BD9A -16.599609 -16.599609 0.000000
FB 64 EF B5 83 32 8D 7B 07FC 018F 0.389648 0.389648 0.000000
B1 F1 0F 03 92 5A 7A 1A 0529 2949 10.321289 10.321289 0.000000
84 2E 41 5B 46 37 AD 5A 0543 F828 -1.960938 -1.960938 0.000000
1D 43 2A 71 1E 34 27 1C FD99 215D 8.340820 8.340820 0.000000
85 C7 40 06 52 62 9E 3B FBAE A758 -22.164062 -22.164062 0.000000
DA E6 8A E8 C0 90 C6 3D FF2D 2911 10.266602 10.266602 0.000000
97 6B 46 8A A0 35 74 E9 FECE 66A7 25.663086 25.663086 0.000000
C6 64 29 0F A7 7A 94 41 FECB 3520 13.281250 13.281250 0.000000
8E A8 83 3D FE 1F B6 88 FBDB F9A1 -1.592773 -1.592773 0.000000
D5 D4 12 7E 4B 13 4D 57 FE75 1ED4 7.707031 7.707031 0.000000
F3 24 34 45 6A 67 DF AF FF40 EBD1 -5.045898 -5.045898 0.000000
EE 93 D9 54 CD D6 67 6F 0657 308A 12.134766 12.134766 0.000000
99 07 44 43 B8 0A 33 C4 F95F 1475 5.114258 5.114258 0.000000
DB E8 4D B6 BA B1 7A 02 FD02 32A6 12.662109 12.662109 0.000000
99 CE E6 E4 36 8D 45 19 FF5D F65B -2.411133 -2.411133 0.000000
C9 B8 8A 28 92 AB 54 0E FC74 0776 1.865234 1.865234 0.000000
09 73 53 A7 AF 96 71 29 FB79 DF64 -8.152344 -8.152344 0.000000
CC 07 56 20 26 33 E3 54 03B2 FE21 -0.467773 -0.467773 0.000000
46 CA EF 1A 8D C2 57 EF 044A EA6B -5.395508 -5.395508 0.000000
7A 91 C3 33 AE 75 F4 CE 00E9 A000 -24.000000 -24.000000 0.000000
7F FA E8 CC 68 52 D0 D9 FC72 3A8A 14.634766 14.634766 0.000000
8F CE 2C B6 AC 17 ED B4 FDCD 3117 12.272461 12.272461 0.000000
7C E7 C9 AE AC D6 0A F8 05C4 E198 -7.601562 -7.601562 0.000000
F8 82 C9 CF D6 64 DE B8 040D E93B -5.692383 -5.692383 0.000000
94 5A CA 3A 77 2E FE B1 FE50 CACE -13.298828 -13.298828 0.000000
8A 43 BF 12 41 99 15 49 0794 CE76 -12.384766 -12.384766 0.000000
1F D5 CD 06 98 39 A9 99 FD12 F5D2 -2.544922 -2.544922 0.000000
3C 9C BE 02 CB E9 57 BA 0510 EAA6 -5.337891 -5.337891 0.000000
9E CA 00 5D 3B 14 9F 4D FE10 FF3B -0.192383 -0.192383 0.000000
E0 21 89 F0 21 EC 64 27 FDE1 C641 -14.436523 -14.436523 0.000000
30 D8 45 3B 9B 8E 08 A5 0044 EC53 -4.918945 -4.918945 0.000000
42 13 54 CB BB 08 82 1E 039D C2DD -15.284180 -15.284180 0.000000
4C 24 0A 45 E4 14 47 8C FA24 D826 -9.962891 -9.962891 0.000000
C2 78 F3 22 0B F4 2A 94 FAAC E1E8 -7.523438 -7.523438 0.000000
33 81 57 24 7B C1 25 A1 FF12 360B 13.510742 13.510742 0.000000
67 D3 4A F9 99 40 A6 DD FF6A B1AA -19.583984 -19.583984 0.000000
17 37 ED C5 4B FF BB 73 F9D7 EAFB -5.254883 -5.254883 0.000000
0B 49 EE 39 8C D6 CE B8 0193 E419 -6.975586 -6.975586 0.000000
A9 2F AF 98 BC 19 96 3D FBA6 201B 8.026367 8.026367 0.000000
69 37 44 3F 52 1D 61 9B 0341 2C07 11.006836 11.006836 0.000000
23 22 C1 8D 52 30 93 F9 0403 3391 12.891602 12.891602 0.000000
27 8B 4B 5D 71 C6 6E B6 FD78 2E89 11.633789 11.633789 0.000000
6D C6 78 3C 3F 92 9F F7 FAB5 FEE0 -0.281250 -0.281250 0.000000
ED 16 08 3E 04 68 27 07 0047 0BD5 2.958008 2.958008 0.000000
AB 81 62 86 35 FB 57 38 FDB6 F536 -2.697266 -2.697266 0.000000
ED 25 6B 81 35 AD 5A BC FD87 34F3 13.237305 13.237305 0.000000
33 F9 6F FC A6 83 5A 55 0171 18A0 6.156250 6.156250 0.000000
DB DB 5A A9 74 D5 7B C4 02CE 37E3 13.971680 13.971680 0.000000
FF 00 89 9D 2C BE 7A 75 0273 9C52 -24.919922 -24.919922 0.000000
03 5D 36 AC FB 52 20 AD 0789 4740 17.812500 17.812500 0.000000
0E CF 6E 6C 99 48 C1 0D FB5A D25A -11.412109 -11.412109 0.000000
8D E8 C8 14 AF AA D5 32 0410 3DD3 15.456055 15.456055 0.000000
04 39 20 73 8F 87 9B 22 0743 ED34 -4.699219 -4.699219 0.000000
84 6B 95 E2 D1 50 86 60 FB14 5B06 22.755859 22.755859 0.000000
32 9D F7 C5 2A 62 96 6F 06EE D361 -11.155273 -11.155273 0.000000
27 CD 03 D4 71 44 7B 82 F820 12E4 4.722656 4.722656 0.000000
33 56 9C 5C E8 28 6C E6 0237 D757 -10.165039 -10.165039 0.000000
9D 0C AB 7D A8 18 DD 8E 02AE F9CB -1.551758 -1.551758 0.000000
1A 22 4C 30 A8 74 6B 82 030C 11A8 4.414062 4.414062 0.000000
61 F8 41 7F 66 7E 6F 5B 0058 6C62 27.095703 27.095703 0.000000
D2 72 04 CF CD 87 D5 9F F8EE DE1B -8.473633 -8.473633 0.000000
C1 95 AB 8D 73 B2 81 08 FEEF 29CF 10.452148 10.452148 0.000000
BB DD 82 26 AB 3B D7 92 0203 14B5 5.176758 5.176758 0.000000
0C 12 6C 91 ED 3F D6 14 FA5D E383 -7.122070 -7.122070 0.000000
24 73 6D 0F CB 76 64 81 FA47 4AF8 18.742188 18.742188 0.000000
D3 04 12 7C 00 BE AA E6 FFE9 EC3D -4.940430 -4.940430 0.000000
A7 C8 ED 72 69 61 02 AB 03C7 A40E -22.986328 -22.986328 0.000000
20 DE 08 05 FC CD 46 98 03E3 0A51 2.579102 2.579102 0.000000
16 B1 87 42 6F C1 47 9E FBED DE15 -8.479492 -8.479492 0.000000
E5 03 91 30 26 72 E6 04 07B6 1110 4.265625 4.265625 0.000000
F4 D2 AD 01 FD 94 72 0D 02EA F18D -3.612305 -3.612305 0.000000
89 18 00 79 66 07 C4 BB 03C3 B464 -18.902344 -18.902344 0.000000
22 DB F4 4C 9C E2 BA 94 FF4E D994 -9.605469 -9.605469 0.000000
73 78 A6 AE FA F5 41 29 0297 D6C1 -10.311523 -10.311523 0.000000
75 4C 7B 7C 37 0C 42 95 FEC3 0758 1.835938 1.835938 0.000000
90 65 FE DF 66 37 71 D3 F82F E62D -6.456055 -6.456055 0.000000
A3 54 9F 3C D6 53 C9 26 FC92 44CF 17.202148 17.202148 0.000000
10 B1 68 31 A8 A3 BC 37 F874 FE8E -0.361328 -0.361328 0.000000
88 3A 92 B2 5C 9F 29 08 0630 B108 -19.742188 -19.742188 0.000000
BA A4 35 4F 83 79 B2 16 07D0 F526 -2.712891 -2.712891 0.000000
74 FD 56 B2 1C DD 52 03 03FC 2BB7 10.928711 10.928711 0.000000
3C BE 24 DF 5D 86 75 DF FA61 4456 17.083984 17.083984 0.000000
59 D1 B7 2E 14 A5 FD 0A 055F 1FAF 7.920898 7.920898 0.000000
73 E7 67 B4 5A B4 CA 88 0498 4258 16.585938 16.585938 0.000000
29 56 C3 46 28 05 AA E7 FCC8 1286 4.630859 4.630859 0.000000
D4 C5 EF 97 3D 47 23 AE FFED 0463 1.096680 1.096680 0.000000
E9 7F 1C C1 1B 73 8A 77 FB43 07B2 1.923828 1.923828 0.000000
82 27 D9 93 70 03 FD 6A F99C 9644 -26.433594 -26.433594 0.000000
BF 4D A5 DD 3D BF 57 BA 0225 C9C0 -13.562500 -13.562500 0.000000
C6 C4 12 C2 AA CD 26 2E 0780 1E78 7.617188 7.617188 0.000000
35 53 A9 6A E9 A0 9E 4D FEF9 1C46 7.068359 7.068359 0.000000
DC 77 43 0F FC 1E 50 1B FE53 235A 8.837891 8.837891 0.000000
04 EF D9 A5 68 7C AC 93 FBBA 28A9 10.165039 10.165039 0.000000
14 14 73 D0 18 85 B7 1A FBA9 CE42 -12.435547 -12.435547 0.000000
5D C7 4D B4 DA D2 D0 1B 0450 EA4C -5.425781 -5.425781 0.000000
DE 34 00 4E DD FD 81 B1 00DE ECD6 -4.791016 -4.791016 0.000000
AD 31 5E 98 9D DC D3 E7 005A 1331 4.797852 4.797852 0.000000
EB AB C1 08 58 7D 0D 02 FD27 C94B -13.676758 -13.676758 0.000000
A9 AD 74 1B 35 F7 AD 68 0388 D9CC -9.550781 -9.550781 0.000000
CC BA 89 00 97 9B 78 11 041C FD46 -0.681641 -0.681641 0.000000
FD CB 6E 87 77 72 90 48 0104 95DD -26.534180 -26.534180 0.000000
B4 8B F5 B9 5C 73 32 74 FAF2 88C1 -29.811523 -29.811523 0.000000
AC F6 59 B6 88 8B 26 6B 0195 1BCF 6.952148 6.952148 0.000000
B0 D4 AD 50 7D C6 06 33 FF3D F023 -3.965820 -3.965820 0.000000
6F E0 26 06 6D E9 CE F7 F8A1 2322 8.783203 8.783203 0.000000
FA 21 76 3A D8 1E 0C 33 FDC6 13AA 4.916016 4.916016 0.000000
1B 21 FF 38 C8 11 E6 B8 02CE EF71 -4.139648 -4.139648 0.000000
DA 3C 68 63 7C B0 52 C3 FD21 E1B2 -7.576172 -7.576172 0.000000
87 70 46 CC 5B 5C 7D 34 FDFA 12D5 4.708008 4.708008 0.000000
35 4C 20 DB E9 5C C2 2A FAFE 03B9 0.930664 0.930664 0.000000
76 5E 40 90 D8 96 15 A0 F803 EDE7 -4.524414 -4.524414 0.000000
D0 13 8F C2 D3 9E CD F4 02B0 1D45 7.317383 7.317383 0.000000
FA D5 73 B0 68 B7 D9 A9 FC80 0FFE 3.998047 3.998047 0.000000
CB A0 EA 7C 17 B0 25 1C FF7A 2319 8.774414 8.774414 0.000000
E4 2B 35 7B 50 8C 0B BD FFC1 C59B -14.598633 -14.598633 0.000000
DA 35 8F 6D 4D F1 86 B3 F961 FFE9 -0.022461 -0.022461 0.000000
89 43 4D 84 01 79 87 73 04DB C7F6 -14.009766 -14.009766 0.000000
6C DC AC 45 B7 D3 D1 08 02E9 FC05 -0.995117 -0.995117 0.000000
D3 F8 BD E6 4E BF CA 7E 047E FA26 -1.462891 -1.462891 0.000000
42 3C 38 96 10 CA A4 C2 0371 0075 0.114258 0.114258 0.000000
EE 92 C2 7C 70 E8 40 BD F9BE CC3A -12.943359 -12.943359 0.000000
00 6D 77 C2 0A 6A FC DF 0172 34B6 13.177734 13.177734 0.000000
58 C4 68 E0 DF CD 4C 8D 075F 353B 13.307617 13.307617 0.000000
A5 E3 58 EF 30 09 82 A1 FBD3 C4BD -14.815430 -14.815430 0.000000
86 64 00 9D E7 D5 D3 50 F938 D566 -10.650391 -10.650391 0.000000
33 4A 66 3A 87 26 4F FF FD44 0F65 3.848633 3.848633 0.000000
9E A0 F9 85 C4 D2 E9 59 01D7 FFED -0.018555 -0.018555 0.000000
9C DE 29 E7 28 B6 81 E9 FEFB E717 -6.227539 -6.227539 0.000000
1B 76 07 ED 21 D3 B5 30 FB46 E466 -6.900391 -6.900391 0.000000
C7 AF 1D 14 17 95 B4 CD 0034 1058 4.085938 4.085938 0.000000
31 C2 79 72 20 C7 C7 29 F9C3 0502 1.251953 1.251953 0.000000
12 45 C3 97 B4 1B 88 20 00CF 1236 4.552734 4.552734 0.000000
E5 6A 65 F7 4E 4E 3B 91 027D 35BD 13.434570 13.434570 0.000000
BA FE AC EF 13 D0 F5 94 02A4 089A 2.150391 2.150391 0.000000
B6 94 0F 28 C1 35 EF AA 01FB EF66 -4.150391 -4.150391 0.000000
8F 50 1A 4A AE 99 C9 29 0300 0D46 3.318359 3.318359 0.000000
AF C9 1A 7B 6D 92 1F 1C 05A3 0B62 2.845703 2.845703 0.000000
5C 24 0E 92 86 9E E8 37 F86C A5DA -22.537109 -22.537109 0.000000
1B E8 D7 47 5B B6 67 57 F85B 1086 4.130859 4.130859 0.000000
69 0C CD 87 9B 0F FD C6 FA37 ED81 -4.624023 -4.624023 0.000000
7F 32 E7 25 1E E3 C6 51 0187 1C1E 7.029297 7.029297 0.000000
DE 0D 30 D2 60 3A B0 0D FE1F E2FB -7.254883 -7.254883 0.000000
BA 54 E8 6F EB 19 7F 57 0652 2E15 11.520508 11.520508 0.000000
D9 00 DF 94 1E FD 22 0B FFC7 F22F -3.454102 -3.454102 0.000000
59 41 E9 DD 12 19 3B 28 01C2 0398 0.898438 0.898438 0.000000
E8 1C FC CC A9 8E 26 2B FEC0 F11C -3.722656 -3.722656 0.000000
26 63 DD D6 4C C7 DB 18 FB0D F169 -3.647461 -3.647461 0.000000
9C 39 38 00 90 C8 67 FB F80B 2DDB 11.463867 11.463867 0.000000
13 3D 87 A1 59 FB C7 31 0057 0E83 3.627930 3.627930 0.000000
19 FB DA 52 19 3C A1 01 FB71 0B22 2.783203 2.783203 0.000000
49 13 17 C5 BD BE 54 49 FAE3 D99B -9.598633 -9.598633 0.000000
6E 3E 0F 91 00 73 AD 4B 05B5 FC2D -0.956055 -0.956055 0.000000
78 CD 3C 6F 64 CD 97 2B 0788 3A9A 14.650391 14.650391 0.000000
45 8A 43 87 21 B0 90 D9 00C1 23A5 8.911133 8.911133 0.000000
39 3D EC 19 17 39 9C B0 FBEF 0EA3 3.659180 3.659180 0.000000
0F 42 34 D4 8D F5 EA 96 F9E2 FE0F -0.485352 -0.485352 0.000000
7F 12 73 1E 67 CF 59 EC 0448 5992 22.392578 22.392578 0.000000
53 12 E1 F5 C7 96 AF 74 F84A E32E -7.205078 -7.205078 0.000000
38 32 E5 D3 7F 5D 4D 83 0011 3BDD 14.965820 14.965820 0.000000
AE 18 6F 4E 01 CF CB 26 FD4C ECFB -4.754883 -4.754883 0.000000
C0 E9 83 0C 5D 48 99 CA F955 0B60 2.843750 2.843750 0.000000
25 6C E9 3B FD 4D 6F 79 04B6 36AD 13.668945 13.668945 0.000000
3B 79 99 BE 12 46 BE 3A 034C 3422 13.033203 13.033203 0.000000
AF 2A C8 E7 38 D6 3E F9 FCF8 D77B -10.129883 -10.129883 0.000000
BE 78 6D 48 F9 00 08 A5 FA8B E629 -6.459961 -6.459961 0.000000
58 85 B3 55 55 34 63 6F 0579 10C9 4.196289 4.196289 0.000000
0E BA 57 CA CA 00 93 73 FA97 BA56 -17.416016 -17.416016 0.000000
02 C6 F1 BE E6 7C FA 60 FB2B C679 -14.381836 -14.381836 0.000000
35 C4 1E F2 7F 2E 08 46 FBC7 0866 2.099609 2.099609 0.000000
00 9F 5E 94 F2 91 69 3E FF74 35E9 13.477539 13.477539 0.000000
17 7A C1 3E CF C3 93 D0 FB02 E8BC -5.816406 -5.816406 0.000000
43 F4 E2 52 5F 8C E4 F9 072C 2683 9.627930 9.627930 0.000000
B8 9D D6 1A 7E AC 86 E3 F864 0682 1.626953 1.626953 0.000000
D4 A3 A6 F4 DD 36 DA F8 006D 008F 0.139648 0.139648 0.000000
57 DA F7 38 F8 8A 10 D8 0317 0893 2.143555 2.143555 0.000000
AD 82 B2 2D 60 5B 5E 8C FE59 8167 -31.649414 -31.649414 0.000000
50 43 E1 E4 9E 9A 10 5B 006F BB39 -17.194336 -17.194336 0.000000
2C 93 57 3A 4E E4 26 5E F9F8 3582 13.376953 13.376953 0.000000
0C FB 15 77 AC 05 22 36 FFDC 17B7 5.928711 5.928711 0.000000
5C FB 8B FC C2 EA 00 70 FD1D E583 -6.622070 -6.622070 0.000000
19 31 56 74 F5 5A D4 25 03DA 15FD 5.497070 5.497070 0.000000
3B 38 26 04 82 48 58 35 05A2 063C 1.558594 1.558594 0.000000
BD AE 00 93 DF 43 85 3F FE12 D66C -10.394531 -10.394531 0.000000
ED 59 45 D8 F1 9B C1 21 FBF5 C3D2 -15.044922 -15.044922 0.000000
07 D8 AB 17 AC 6D 0B 4B FD1B ECDD -4.784180 -4.784180 0.000000
33 AA 5D DE AD A4 E5 89 FAB6 0F14 3.769531 3.769531 0.000000
AA 8F 0B E3 E7 0A 73 48 070A 07CF 1.952148 1.952148 0.000000
60 68 4C 0B 96 3B B3 D1 01D7 D92E -9.705078 -9.705078 0.000000
9A 9D D3 98 27 39 3F E4 030F DDC7 -8.555664 -8.555664 0.000000
AA BE FB EC 74 96 06 A4 F89B F409 -2.991211 -2.991211 0.000000
75 B6 00 62 75 D7 6B 03 FAAB 3D24 15.285156 15.285156 0.000000
C9 15 6A 1F 8D 17 35 5D 04B9 4086 16.130859 16.130859 0.000000
98 F6 42 47 C1 AA 55 2E F80C 37AC 13.917969 13.917969 0.000000
AE 68 8C A4 29 13 ED 1E FFF1 F85B -1.911133 -1.911133 0.000000
19 95 66 B0 D5 26 67 41 00BC 0161 0.344727 0.344727 0.000000
66 BB 4C DA D4 5D 17 05 0647 E1C4 -7.558594 -7.558594 0.000000
F8 C7 F6 D8 91 FD 2E B0 019C 1073 4.112305 4.112305 0.000000
55 3F 43 C0 92 00 AC EB FB53 C611 -14.483398 -14.483398 0.000000
1E 79 27 63 B7 33 C0 EA FF7C FCC7 -0.805664 -0.805664 0.000000
8A A4 3F 63 B2 5A DA BA FA20 D950 -9.671875 -9.671875 0.000000
FB 96 67 F7 8A 99 BF C8 040D 18D2 6.205078 6.205078 0.000000
EE 0D CF 75 77 14 65 D0 FADB CA3C -13.441406 -13.441406 0.000000
F8 E8 2F 51 C8 71 A4 D4 008F D8E7 -9.774414 -9.774414 0.000000
A3 26 4E 35 25 20 6F 25 FA7E 1B48 6.820312 6.820312 0.000000
68 00 2B A5 13 4D 56 62 007B F3CF -3.047852 -3.047852 0.000000
2D A7 CB B5 49 04 48 00 0778 0401 1.000977 1.000977 0.000000
54 69 3F 2D 4D DB 4C D8 0453 1A16 6.521484 6.521484 0.000000
93 79 8D EE 9B F5 35 5C FBC0 0347 0.819336 0.819336 0.000000
89 4D 91 91 DC 6B B6 C1 FEC0 6B12 26.767578 26.767578 0.000000
9E FC 11 FB AC 6D 93 DE 055B 1D3C 7.308594 7.308594 0.000000
27 D9 EC 8A 6F 01 E0 59 06A8 F0E4 -3.777344 -3.777344 0.000000
F6 E6 39 7D E1 3D EE 53 0433 23BC 8.933594 8.933594 0.000000
3A 1A A8 35 40 BF B7 49 0478 3493 13.143555 13.143555 0.000000
98 9A 4E 84 B4 07 97 57 FB66 CD5A -12.662109 -12.662109 0.000000
B2 5C 65 F4 1C 85 40 1D FD31 E059 -7.913086 -7.913086 0.000000
CF 00 D0 F8 11 74 1E 6C F885 EC44 -4.933594 -4.933594 0.000000
5F AC 1D 9F DC 87 71 9A F8AB 4676 17.615234 17.615234 0.000000
36 2A 14 50 F8 A8 50 60 FA29 0E49 3.571289 3.571289 0.000000
EB 5A 9F 75 6D 34 46 70 0322 2523 9.284180 9.284180 0.000000
A4 9D AD 7C 9F 1E E1 7A FF1F 5B86 22.880859 22.880859 0.000000
75 43 9B 19 E1 11 30 02 0585 E90F -5.735352 -5.735352 0.000000
C2 27 CF A2 76 10 89 03 0378 FF01 -0.249023 -0.249023 0.000000
74 0F AA A5 75 7D E9 55 0576 2B50 10.828125 10.828125 0.000000
86 FB 8C 6F 0C 47 42 EE F980 CCAF -12.829102 -12.829102 0.000000
D7 FB C4 DF 44 AD 42 A0 FD5A F0FD -3.752930 -3.752930 0.000000
82 73 4A 10 ED A6 D2 EF FB8E CE1E -12.470703 -12.470703 0.000000
6F EF 30 27 BB 39 7D 1F FB4C F5C1 -2.561523 -2.561523 0.000000
CD D5 56 42 C6 27 DA C5 03C7 ECCE -4.798828 -4.798828 0.000000
57 A6 75 46 86 BA BE 62 057D F145 -3.682617 -3.682617 0.000000
A2 2A 00 6A 93 86 A3 48 FF8E 3160 12.343750 12.343750 0.000000
C2 C2 D1 74 72 69 FD 39 F999 DEF0 -8.265625 -8.265625 0.000000
9E D0 AF 4F 17 F9 3F 82 022A BFDB -16.036133 -16.036133 0.000000
C4 8C C1 EE 9B 15 7D 6E FCBA E463 -6.903320 -6.903320 0.000000
C9 9C A9 3F F5 C1 81 FF 07CF 4DB2 19.423828 19.423828 0.000000
1B DB 3E 81 09 93 AA 5D F90C C6C9 -14.303711 -14.303711 0.000000
