a0 a1 a2 a3 b0 b1 b2 b3 c0 sim_hex sim_val golden_val abs_error
3A D2 50 10 BE D0 D2 4E 40 26 0.218750 0.031250 0.187500
42 38 3D 9D CA 4D B1 49 35 CE -7.000000 -6.558594 0.441406
C9 CD 4D 49 C8 C1 43 C7 BD 60 32.000000 32.000000 0.000000
C7 4A BC C9 B7 3D B4 4F CA DD -26.000000 -25.984375 0.015625
C1 B6 BB C9 42 CA 50 CF 42 5C 24.000000 24.000000 0.000000
CA CB C9 CB C9 CE CC 50 CF 61 36.000000 36.500000 0.500000
D1 D0 52 D0 4F 4F C7 4C C9 F5 -208.000000 -217.500000 9.500000
CB D0 BF C4 3A CA CD 4E 40 5E 28.000000 26.312500 1.687500
42 C2 B1 A0 4A C3 50 C4 4A 5A 20.000000 20.250000 0.250000
49 C1 D2 4A B8 D1 C1 CF 31 42 2.500000 1.312500 1.187500
41 45 BC C8 52 51 30 C6 C6 68 64.000000 61.500000 2.500000
CA C7 D1 C2 52 50 52 CA 4C F1 -144.000000 -151.500000 7.500000
50 D2 D2 4B C3 D2 CB D2 D2 68 64.000000 68.000000 4.000000
C2 CA 50 38 C1 35 A4 4E CC 38 1.000000 1.062500 0.062500
49 C3 47 49 27 CF CA D0 D2 E3 -44.000000 -43.070312 0.929688
C8 45 D1 40 BB BB C4 4B 4F 64 48.000000 46.531250 1.468750
44 CA 24 2E C6 89 C8 12 42 D1 -9.000000 -8.645020 0.354980
C4 D2 4F D0 B8 32 D1 BC 4F E5 -52.000000 -51.250000 0.750000
38 4C 42 43 44 50 D2 51 51 67 60.000000 59.750000 0.250000
C1 C9 C2 C9 4C 46 49 41 D1 E7 -60.000000 -59.625000 0.375000
CE 47 45 CC B4 B5 4D 44 C6 40 2.000000 1.828125 0.171875
48 C8 51 D0 D2 4D A7 4B C6 EE -112.000000 -115.609375 3.609375
52 C5 D1 C2 52 51 3E 42 CE 62 40.000000 41.750000 1.750000
52 D1 4D AF D0 3D 50 B6 50 E1 -36.000000 -34.214844 1.785156
2F CE C6 4B CE 48 4A C7 4B E8 -64.000000 -63.906250 0.093750
44 D0 C6 BF CC 41 4A D0 4F DE -28.000000 -31.000000 3.000000
CB CB 4C CC 41 CC 4D D0 50 6E 112.000000 115.625000 3.625000
C8 4A 44 29 CA 51 C6 BC CE 63 44.000000 47.078125 3.078125
CF C0 4A 4D 4B D1 48 CA 3B E1 -36.000000 -34.375000 1.625000
CD 46 CD 22 4B 40 4F CA 43 E9 -72.000000 -75.531250 3.531250
34 3B 45 CA CD 4F 4A 52 51 DA -20.000000 -19.312500 0.687500
C9 D0 BA 46 CC 4A CE 49 11 54 12.000000 11.535156 0.464844
BA CA 4F 50 CF B4 CE 4C 4F 58 16.000000 16.125000 0.125000
4F 4E 52 41 24 51 C0 36 4D 65 52.000000 52.875000 0.875000
A9 BD 43 CE 48 51 4B D2 4C 69 72.000000 75.375000 3.375000
C3 CC CA CD 98 32 35 CB 35 5E 28.000000 28.921875 0.921875
CE 46 48 52 42 CD 3C BA CD E5 -52.000000 -53.250000 1.250000
BA A8 1F 51 11 CB CF D1 C5 EA -80.000000 -83.797852 3.797852
CA C9 BD B2 D1 C2 BB 3B D0 65 52.000000 49.625000 2.375000
4F BB D2 D1 46 4C 51 C3 D0 E6 -56.000000 -55.250000 0.750000
C0 45 CD C9 50 C9 D0 52 3E DA -20.000000 -21.875000 1.875000
C9 36 D1 C7 D2 4D D0 4E 49 6D 104.000000 100.937500 3.062500
4B BC 43 B1 4F CF 4C A1 CB 68 64.000000 63.579102 0.420898
D1 52 4C 4D CA C9 26 50 BF 65 52.000000 51.437500 0.562500
49 4A 43 4D 51 1E D0 48 D1 61 36.000000 36.046875 0.046875
4D CB 44 D0 4D 4A 51 CD 52 6D 104.000000 103.750000 0.250000
49 BF 46 CE BA C6 CF CC CF 52 10.000000 9.187500 0.812500
4D D2 3C C1 BE 41 43 50 47 E3 -44.000000 -44.000000 0.000000
49 B2 46 52 4E 42 43 C9 50 44 3.000000 2.562500 0.437500
C2 50 D0 51 50 4E C4 D0 D1 DA -20.000000 -21.000000 1.000000
B9 BF 93 C9 46 D1 D0 37 50 58 16.000000 17.062500 1.062500
CA D1 4E 42 48 A9 41 4C BE 53 11.000000 11.531250 0.531250
43 4E CE 39 D2 4F CA 2F 39 67 60.000000 61.652344 1.652344
C8 CF CF BF CE 4B C3 50 C3 D2 -10.000000 -10.375000 0.375000
50 43 40 49 BF CA D2 4A C6 DF -30.000000 -29.750000 0.250000
2C 49 CE 46 49 C1 CB D2 48 C4 -3.000000 -0.937500 2.062500
25 C4 CF D1 CA C1 BE C4 45 64 48.000000 49.109375 1.109375
CF C8 C7 BB 51 BD D1 CA 49 D7 -15.000000 -15.875000 0.875000
B8 51 C7 4B 4B 50 46 52 D0 6C 96.000000 100.375000 4.375000
2B CC 45 C9 49 50 4D 42 51 DD -26.000000 -27.578125 1.578125
D1 50 C5 41 CD C6 C9 51 52 6A 80.000000 75.375000 4.625000
50 2A C6 CA CA D0 41 48 CD EA -80.000000 -76.875000 3.125000
91 D0 1E 4B 32 CC D0 50 AD 6C 96.000000 90.696777 5.303223
52 C9 4B 4E 4F CD CD 35 C4 6A 80.000000 71.187500 8.812500
CF C2 51 CE D1 D0 CE C4 CB 61 36.000000 40.000000 4.000000
49 2A 3F D2 C8 CC D1 50 48 EE -112.000000 -112.750000 0.750000
4F C8 CD 48 51 1A 3A C3 29 63 44.000000 48.343750 4.343750
4C 51 31 CD 47 C9 CC CB D1 4C 6.000000 5.375000 0.625000
4C 43 C9 49 4B CF 52 4C 51 44 3.000000 3.375000 0.375000
3C CC 3D 4E 0A 4F 4B D1 D0 ED -104.000000 -107.033203 3.033203
2B CA B6 48 34 44 46 52 52 60 32.000000 32.195312 0.195312
4F C0 3A C9 4A 51 3E 3A 36 59 18.000000 16.937500 1.062500
28 45 3E 3B C4 29 3D CC B9 CD -6.500000 -6.367188 0.132812
D0 50 42 CE C1 3C C9 C8 4A 65 52.000000 51.750000 0.250000
50 CF D0 46 4F 44 52 CD 32 E8 -64.000000 -64.625000 0.625000
4D D1 4C 45 CB 4A 47 2F CB E8 -64.000000 -62.226562 1.773438
B6 CC C3 BD 4B 34 C9 BC 40 50 8.000000 7.500000 0.500000
D1 C8 C5 51 49 D0 52 CD 51 EB -88.000000 -90.500000 2.500000
CE 39 3F 8B C6 CE CC C8 B9 4A 5.000000 4.335938 0.664062
4E 42 4C 4F 4A 2F 3D 49 48 6A 80.000000 83.671875 3.671875
C2 48 4A 44 48 B1 BC B3 C1 DC -24.000000 -24.062500 0.062500
D1 39 C9 C4 38 B5 C7 40 CD CA -5.000000 -5.539062 0.539062
45 4D 50 52 BE 4E 37 51 CC 70 128.000000 131.312500 3.312500
4B CB BD 50 C9 4C 50 B8 4E E9 -72.000000 -71.750000 0.250000
41 C4 46 42 35 50 CB CB D2 E8 -64.000000 -65.171875 1.171875
40 C4 B7 49 D1 BB B7 4E BD 58 16.000000 16.878906 0.878906
4D 39 4F 4C AC 4F CE CA D0 EB -88.000000 -84.500000 3.500000
31 52 4A B3 50 43 47 C8 CB 64 48.000000 48.000000 0.000000
51 51 D0 CB 4A B4 0F BD 4E 65 52.000000 53.953125 1.953125
CA CC 47 C8 CD B5 C6 52 D1 DC -24.000000 -24.750000 0.750000
CA D2 C2 31 C9 34 CF C5 4D 62 40.000000 38.421875 1.578125
C6 A2 3E CC C1 CB 50 D2 C7 6A 80.000000 78.984375 1.015625
32 4B 46 50 C2 4C CA CB B2 E0 -32.000000 -30.687500 1.312500
CF 51 BF B1 45 49 3C 3C CB 4C 6.000000 6.968750 0.968750
D1 51 D2 52 20 3F CE 3F 22 6D 104.000000 104.656250 0.656250
